time/episodes,rollout/success_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/learning_rate,time/total_timesteps,train/critic_loss
200,0.92,137,145,100.0,-3.1280398000000003,2.364273076057434,19800,0.001,20000,0.0014648892590776086
210,0.89,136,153,100.0,-3.2251599399999997,2.3657297897338867,20800,0.001,21000,0.0008585612027673051
220,0.89,136,161,100.0,-3.21397225,2.3847454261779784,21800,0.001,22000,0.0008960719950846396
230,0.9,136,168,100.0,-3.1446749599999992,2.3765296602249144,22800,0.001,23000,0.0009223517199279741
240,0.9,136,176,100.0,-3.13056717,2.374321389198303,23800,0.001,24000,0.0008412869577296079
250,0.89,135,183,100.0,-3.1026202700000005,2.373567748069763,24800,0.001,25000,0.0008617195388069376
260,0.88,135,191,100.0,-3.1541704100000008,2.3789907550811766,25800,0.001,26000,0.0008193424908677116
270,0.9,135,198,100.0,-3.062299340000001,2.3722066640853883,26800,0.001,27000,0.0007951836838037706
280,0.92,135,206,100.0,-2.9939380800000004,2.360972261428833,27800,0.001,28000,0.0008186421456048265
290,0.92,135,213,100.0,-3.0369544800000003,2.3595055818557737,28800,0.001,29000,0.0007921025282121263
300,0.91,135,220,100.0,-3.0899033000000005,2.3513444900512694,29800,0.001,30000,0.000835202269081492
310,0.93,135,228,100.0,-2.9707406200000004,2.3530124759674074,30800,0.001,31000,0.0017951301665743813
320,0.94,135,235,100.0,-2.9035734599999996,2.3414282846450805,31800,0.001,32000,0.0008094402504502796
330,0.93,136,242,100.0,-2.8538048099999997,2.322378816604614,32800,0.001,33000,0.0008282649825559929
340,0.93,136,249,100.0,-2.8302437100000004,2.3183095026016236,33800,0.001,34000,0.0007364553117076866
350,0.95,136,257,100.0,-2.7075734599999994,2.3082801246643068,34800,0.001,35000,0.0007417569181416184
360,0.95,135,264,100.0,-2.64161734,2.3051151037216187,35800,0.001,36000,0.0007398292198195122
370,0.96,135,272,100.0,-2.57294098,2.2967911052703855,36800,0.001,37000,0.0006751876484486274
380,0.96,135,279,100.0,-2.5949839800000003,2.2938458156585693,37800,0.001,38000,0.0006616197639959864
390,0.96,135,287,100.0,-2.6211100200000006,2.285648522377014,38800,0.001,39000,0.0006472042217501439
400,0.97,135,294,100.0,-2.5561588,2.2675081157684325,39800,0.001,40000,0.000728930524783209
410,0.98,135,302,100.0,-2.53502378,2.2671540784835815,40800,0.001,41000,0.0005932118624332361
420,0.97,135,309,100.0,-2.63140627,2.258814606666565,41800,0.001,42000,0.0011940562282688916
430,0.98,135,316,100.0,-2.5954769300000002,2.2488686418533326,42800,0.001,43000,0.0006305982058984228
440,0.98,135,324,100.0,-2.57724113,2.2436186504364013,43800,0.001,44000,0.0007552274269983173
450,0.98,135,331,100.0,-2.5713809,2.2342850017547606,44800,0.001,45000,0.0005421620415290817
460,0.99,135,339,100.0,-2.54329301,2.2266888666152953,45800,0.001,46000,0.000652548901271075
470,0.99,135,346,100.0,-2.53996258,2.2148111963272097,46800,0.001,47000,0.0005607774892996531
480,0.99,135,354,100.0,-2.4931550399999995,2.212008738517761,47800,0.001,48000,0.0006357536331051961
490,0.99,135,361,100.0,-2.4062464199999996,2.2038497495651246,48800,0.001,49000,0.000563859999529086
500,0.99,135,369,100.0,-2.4212392,2.1956975078582763,49800,0.001,50000,0.0008021357315010391
510,0.98,135,376,100.0,-2.38744606,2.1962421989440917,50800,0.001,51000,0.0010542368548340164
520,0.99,135,384,100.0,-2.34209398,2.182990703582764,51800,0.001,52000,0.0007430808956269175
530,0.99,135,392,100.0,-2.41512347,2.183733973503113,52800,0.001,53000,0.0007188161765225232
540,0.99,135,399,100.0,-2.4098350099999997,2.171709876060486,53800,0.001,54000,0.0005491909006377682
550,0.99,134,407,100.0,-2.4601870100000003,2.1773213005065917,54800,0.001,55000,0.0008343009921372868
560,0.98,134,415,100.0,-2.4804957999999995,2.162986125946045,55800,0.001,56000,0.0006394489205558784
570,0.97,134,422,100.0,-2.49670706,2.156925654411316,56800,0.001,57000,0.0004901397696812637
580,0.97,134,429,100.0,-2.48498707,2.14864896774292,57800,0.001,58000,0.000493090056697838
590,0.97,134,437,100.0,-2.5275657700000007,2.1438859510421753,58800,0.001,59000,0.0005696409268421121
600,0.97,134,444,100.0,-2.55964313,2.1372698163986206,59800,0.001,60000,0.0005181587155675515
610,0.97,134,452,100.0,-2.54711723,2.12597101688385,60800,0.001,61000,0.0005851526561309584
620,0.97,134,459,100.0,-2.53881104,2.1213261556625365,61800,0.001,62000,0.0005480759355123155
630,0.97,134,467,100.0,-2.47202758,2.118684892654419,62800,0.001,63000,0.0005368252980406396
640,0.97,134,474,100.0,-2.5079411300000003,2.107715268135071,63800,0.001,64000,0.0004646949894959107
650,0.97,134,481,100.0,-2.50573213,2.1016895055770872,64800,0.001,65000,0.000576825977768749
660,0.98,134,489,100.0,-2.4854859400000002,2.0918734312057494,65800,0.001,66000,0.0005225611690548249
670,0.99,134,496,100.0,-2.47580017,2.0894066286087036,66800,0.001,67000,0.00047329265595180914
680,0.99,134,504,100.0,-2.4702282200000005,2.0919106435775756,67800,0.001,68000,0.0006731661059893668
690,0.99,134,511,100.0,-2.41302955,2.0803066539764403,68800,0.001,69000,0.0004896485112840309
700,0.99,134,519,100.0,-2.3502272399999997,2.0702221250534056,69800,0.001,70000,0.000578657828446012
710,1.0,134,526,100.0,-2.35900971,2.070910806655884,70800,0.001,71000,0.00048523008939810097
720,1.0,134,534,100.0,-2.27975295,2.067353949546814,71800,0.001,72000,0.0008127562253503129
730,1.0,134,541,100.0,-2.25942672,2.0605818700790404,72800,0.001,73000,0.0007086973791592755
740,1.0,134,549,100.0,-2.2256409900000005,2.0484067249298095,73800,0.001,74000,0.00046792119945166633
750,1.0,134,556,100.0,-2.1667167199999997,2.0383573937416077,74800,0.001,75000,0.00048117988771991806
760,1.0,134,564,100.0,-2.16695938,2.028492784500122,75800,0.001,76000,0.0004727656440809369
770,1.0,134,572,100.0,-2.11049997,2.03439882516861,76800,0.001,77000,0.00044349841889925303
780,1.0,134,579,100.0,-2.08866633,2.0262271881103517,77800,0.001,78000,0.0004561187871149741
790,1.0,134,587,100.0,-2.17259653,2.0197306418418886,78800,0.001,79000,0.00048697256061132067
800,1.0,134,595,100.0,-2.1891174799999997,2.018359832763672,79800,0.001,80000,0.0004465563999838196
