time/episodes,train/n_updates,time/fps,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,time/total_timesteps,train/actor_loss,train/critic_loss
560,55800,118,-3.08650223,0.88,100.0,0.001,472,56000,1.4675263702869414,0.00032282984131597913
570,56800,118,-3.17696439,0.86,100.0,0.001,480,57000,1.4632186353206635,0.00030949858301028145
580,57800,118,-3.1676914700000003,0.86,100.0,0.001,488,58000,1.438347796201706,0.00030636035204224755
590,58800,118,-3.3024446800000002,0.85,100.0,0.001,497,59000,1.4321666157245636,0.00027197345523745755
600,59800,118,-3.3905528499999997,0.83,100.0,0.001,506,60000,1.4205856335163116,0.0009615214297082276
610,60800,118,-3.1984841800000003,0.86,100.0,0.001,515,61000,1.3974307358264924,0.00024039245981839487
620,61800,118,-3.32302974,0.84,100.0,0.001,524,62000,1.378048471212387,0.0002510683475702535
630,62800,118,-3.26145771,0.87,100.0,0.001,532,63000,1.3581185722351075,0.0002448159732739441
640,63800,118,-3.2490181000000007,0.87,100.0,0.001,541,64000,1.340651774406433,0.00025381850464327725
650,64800,117,-3.1767478300000005,0.88,100.0,0.001,551,65000,1.33761834025383,0.0002530861063860357
660,65800,117,-3.20760746,0.87,100.0,0.001,560,66000,1.334746276140213,0.0005902668065391481
670,66800,117,-3.09585818,0.89,100.0,0.001,570,67000,1.3440824842453003,0.0002606868877046509
680,67800,116,-3.1971355399999997,0.88,100.0,0.001,581,68000,1.3371513235569,0.00026689314348914194
690,68800,116,-3.0952794600000004,0.89,100.0,0.001,591,69000,1.323690459728241,0.0006994232124998234
700,69800,116,-3.02449151,0.9,100.0,0.001,601,70000,1.3189111101627349,0.0011654526175698266
710,70800,115,-3.24712152,0.89,100.0,0.001,612,71000,1.310878028869629,0.00027704154366801957
720,71800,115,-3.082928570000001,0.92,100.0,0.001,624,72000,1.3075161707401275,0.0002255504317872692
730,72800,114,-3.04326073,0.93,100.0,0.001,635,73000,1.2959842431545257,0.0005299425982229877
740,73800,114,-3.10229552,0.92,100.0,0.001,647,74000,1.2885914468765258,0.00031656518527597657
750,74800,113,-3.1379463299999997,0.91,100.0,0.001,658,75000,1.2930235397815704,0.0005255588614090812
760,75800,113,-3.098252079999999,0.91,100.0,0.001,669,76000,1.2611590731143951,0.00031854773056693374
770,76800,113,-3.14290669,0.92,100.0,0.001,680,77000,1.2644475400447845,0.0003975378829636611
780,77800,113,-3.070133170000001,0.91,100.0,0.001,689,78000,1.244204694032669,0.00027800117364677133
790,78800,112,-3.2172964000000004,0.88,100.0,0.001,700,79000,1.2452402555942534,0.0006320495056570507
800,79800,112,-3.15366002,0.89,100.0,0.001,710,80000,1.2501386427879333,0.00020547627544146964
