time/total_timesteps,train/n_updates,train/learning_rate,time/time_elapsed,train/actor_loss,train/critic_loss,time/episodes,rollout/success_rate,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean
59000,58800,0.001,474,89.80972930908203,0.006762411732925102,590,0.0,124,100.0,-99.91
60000,59800,0.001,481,90.10543830871582,0.009271764066652395,600,0.0,124,100.0,-99.94
61000,60800,0.001,489,90.4311654663086,0.014644999197917058,610,0.0,124,100.0,-99.97
62000,61800,0.001,496,90.73908554077148,0.009317558736656793,620,0.0,124,100.0,-99.95
63000,62800,0.001,503,91.06956184387207,0.006079622746328823,630,0.0,125,100.0,-99.94
64000,63800,0.001,510,91.39350990295411,0.001452683463867288,640,0.0,125,100.0,-99.95
65000,64800,0.001,518,91.74542541503907,0.010195566043403232,650,0.0,125,100.0,-99.92
66000,65800,0.001,525,91.99935661315918,0.008492231325944885,660,0.0,125,100.0,-99.91
67000,66800,0.001,532,92.3033666229248,0.02402592734666541,670,0.0,125,100.0,-99.85
68000,67800,0.001,539,92.59663139343262,0.01939979873059201,680,0.0,126,100.0,-99.84
69000,68800,0.001,547,92.87807205200195,0.005251304832927417,690,0.0,126,100.0,-99.84
70000,69800,0.001,554,93.13250564575195,0.019375101950136014,700,0.0,126,100.0,-99.83
71000,70800,0.001,561,93.41749336242675,0.008589016369223828,710,0.0,126,100.0,-99.83
72000,71800,0.001,568,93.6784521484375,0.005993234916531947,720,0.0,126,100.0,-99.84
73000,72800,0.001,576,93.93649429321289,0.007609591219224967,730,0.0,126,100.0,-99.83
74000,73800,0.001,583,94.16506805419922,0.008704851007787512,740,0.0,126,100.0,-99.83
75000,74800,0.001,590,94.40224754333497,0.0143132639999385,750,0.0,127,100.0,-99.86
76000,75800,0.001,597,94.62518859863282,0.0066250272511388176,760,0.0,127,100.0,-99.85
77000,76800,0.001,605,94.79988388061524,0.004045294418610865,770,0.0,127,100.0,-99.89
78000,77800,0.001,612,94.96337837219238,0.013860968998051249,780,0.0,127,100.0,-99.88
79000,78800,0.001,621,95.10202857971191,0.01487591238663299,790,0.0,127,100.0,-99.89
80000,79800,0.001,630,95.20928504943848,0.007359817232645583,800,0.0,126,100.0,-99.87
