train/n_updates,train/actor_loss,rollout/success_rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,time/fps
58800,75.02484893798828,0.02,590,404,-98.03,0.036974499044008555,100.0,59000,0.001,145
59800,75.5645216369629,0.02,600,411,-97.98,0.05315222330624238,100.0,60000,0.001,145
60800,76.10232711791993,0.02,610,418,-97.98,0.04168462004046887,100.0,61000,0.001,145
61800,76.67989059448242,0.02,620,425,-97.98,0.028083585277199744,100.0,62000,0.001,145
62800,77.13704025268555,0.02,630,432,-98.01,0.029232176686637103,100.0,63000,0.001,145
63800,77.62870223999023,0.02,640,440,-97.59,0.03492593403439969,100.0,64000,0.001,145
64800,78.08387985229493,0.01,650,448,-98.51,0.03127687939908355,100.0,65000,0.001,144
65800,78.54095840454102,0.01,660,456,-98.53,0.03457078555133194,100.0,66000,0.001,144
66800,78.97587203979492,0.01,670,463,-98.61,0.029865729794837533,100.0,67000,0.001,144
67800,79.38460800170898,0.01,680,471,-98.76,0.03677246033679694,100.0,68000,0.001,144
68800,79.85629852294922,0.01,690,478,-98.9,0.03584990681149065,100.0,69000,0.001,144
69800,80.25363952636718,0.01,700,485,-98.89,0.043903661626391116,100.0,70000,0.001,144
70800,80.72592498779296,0.01,710,492,-98.89,0.03406006847973913,100.0,71000,0.001,144
71800,81.1669450378418,0.01,720,500,-98.89,0.035925017814151944,100.0,72000,0.001,143
72800,81.53049026489258,0.01,730,507,-98.86,0.043740619076415896,100.0,73000,0.001,143
73800,81.89702560424804,0.0,740,513,-99.79,0.037648982051759955,100.0,74000,0.001,144
74800,82.29963012695312,0.0,750,520,-99.74,0.04886785365641117,100.0,75000,0.001,144
75800,82.59561492919921,0.0,760,527,-99.74,0.03762956029735506,100.0,76000,0.001,144
76800,82.91626739501953,0.0,770,533,-99.25,0.03729444208554924,100.0,77000,0.001,144
77800,83.28999435424805,0.0,780,540,-98.96,0.03801652383524925,100.0,78000,0.001,144
78800,83.62377151489258,0.01,790,547,-97.88,0.04756360195111484,100.0,79000,0.001,144
79800,83.93127349853516,0.01,800,553,-97.94,0.0506225906079635,100.0,80000,0.001,144
