Start playing!
Ep. 86, Ep.Timesteps 90, Episode Reward: -116.20, Moving Average Reward: -117.26
Ep. 87, Ep.Timesteps 84, Episode Reward: -115.66, Moving Average Reward: -117.03
Ep. 88, Ep.Timesteps 86, Episode Reward: -115.96, Moving Average Reward: -117.01
Ep. 89, Ep.Timesteps 121, Episode Reward: -118.14, Moving Average Reward: -116.98
Ep. 90, Ep.Timesteps 82, Episode Reward: -115.88, Moving Average Reward: -117.04
Ep. 91, Ep.Timesteps 101, Episode Reward: -117.04, Moving Average Reward: -117.18
Ep. 92, Ep.Timesteps 100, Episode Reward: -116.69, Moving Average Reward: -117.21
Ep. 93, Ep.Timesteps 126, Episode Reward: -118.41, Moving Average Reward: -117.24
Ep. 94, Ep.Timesteps 86, Episode Reward: -115.99, Moving Average Reward: -117.19
Ep. 95, Ep.Timesteps 106, Episode Reward: -117.17, Moving Average Reward: -117.16
Ep. 96, Ep.Timesteps 90, Episode Reward: -116.32, Moving Average Reward: -117.14
Ep. 97, Ep.Timesteps 87, Episode Reward: -116.01, Moving Average Reward: -117.11
Ep. 98, Ep.Timesteps 1600, Episode Reward: -97.34, Moving Average Reward: -116.74
Ep. 99, Ep.Timesteps 90, Episode Reward: -116.09, Moving Average Reward: -116.65
Ep. 100, Ep.Timesteps 132, Episode Reward: -118.79, Moving Average Reward: -116.67
Ep. 101, Ep.Timesteps 114, Episode Reward: -117.82, Moving Average Reward: -116.70
Ep. 102, Ep.Timesteps 84, Episode Reward: -116.08, Moving Average Reward: -116.67
Ep. 103, Ep.Timesteps 106, Episode Reward: -117.15, Moving Average Reward: -116.66
Ep. 104, Ep.Timesteps 114, Episode Reward: -117.86, Moving Average Reward: -116.66
Ep. 105, Ep.Timesteps 115, Episode Reward: -117.77, Moving Average Reward: -116.67
Ep. 106, Ep.Timesteps 91, Episode Reward: -115.73, Moving Average Reward: -116.64
Ep. 107, Ep.Timesteps 93, Episode Reward: -116.45, Moving Average Reward: -116.55
Ep. 108, Ep.Timesteps 90, Episode Reward: -116.18, Moving Average Reward: -116.50
Ep. 109, Ep.Timesteps 97, Episode Reward: -116.87, Moving Average Reward: -116.50
Ep. 110, Ep.Timesteps 108, Episode Reward: -117.57, Moving Average Reward: -116.46
Ep. 111, Ep.Timesteps 92, Episode Reward: -116.46, Moving Average Reward: -116.43
Ep. 112, Ep.Timesteps 129, Episode Reward: -118.76, Moving Average Reward: -116.46
Ep. 113, Ep.Timesteps 114, Episode Reward: -117.99, Moving Average Reward: -116.48
Ep. 114, Ep.Timesteps 88, Episode Reward: -115.85, Moving Average Reward: -116.48
Ep. 115, Ep.Timesteps 158, Episode Reward: -120.95, Moving Average Reward: -116.57
Ep. 116, Ep.Timesteps 112, Episode Reward: -117.84, Moving Average Reward: -116.60
Ep. 117, Ep.Timesteps 118, Episode Reward: -118.40, Moving Average Reward: -116.63
Ep. 118, Ep.Timesteps 92, Episode Reward: -116.38, Moving Average Reward: -116.61
Ep. 119, Ep.Timesteps 129, Episode Reward: -118.60, Moving Average Reward: -116.65
Ep. 120, Ep.Timesteps 99, Episode Reward: -117.25, Moving Average Reward: -116.54
Ep. 121, Ep.Timesteps 85, Episode Reward: -115.63, Moving Average Reward: -116.51
Ep. 122, Ep.Timesteps 103, Episode Reward: -117.37, Moving Average Reward: -116.50
Ep. 123, Ep.Timesteps 84, Episode Reward: -116.05, Moving Average Reward: -116.50
Ep. 124, Ep.Timesteps 108, Episode Reward: -117.57, Moving Average Reward: -116.54
Ep. 125, Ep.Timesteps 90, Episode Reward: -116.13, Moving Average Reward: -116.50
Ep. 126, Ep.Timesteps 106, Episode Reward: -117.34, Moving Average Reward: -116.53
Ep. 127, Ep.Timesteps 213, Episode Reward: -108.12, Moving Average Reward: -116.36
Ep. 128, Ep.Timesteps 105, Episode Reward: -117.09, Moving Average Reward: -116.37
Ep. 129, Ep.Timesteps 194, Episode Reward: -122.91, Moving Average Reward: -116.51
Ep. 130, Ep.Timesteps 113, Episode Reward: -118.04, Moving Average Reward: -116.54
Ep. 131, Ep.Timesteps 113, Episode Reward: -117.87, Moving Average Reward: -116.57
Ep. 132, Ep.Timesteps 1600, Episode Reward: -96.63, Moving Average Reward: -116.16
Ep. 133, Ep.Timesteps 168, Episode Reward: -104.61, Moving Average Reward: -115.94
Ep. 134, Ep.Timesteps 100, Episode Reward: -116.86, Moving Average Reward: -115.96
Ep. 135, Ep.Timesteps 1600, Episode Reward: -97.88, Moving Average Reward: -115.60
Ep. 136, Ep.Timesteps 1600, Episode Reward: -98.52, Moving Average Reward: -115.24
Ep. 137, Ep.Timesteps 98, Episode Reward: -117.00, Moving Average Reward: -115.27
Ep. 138, Ep.Timesteps 1600, Episode Reward: -99.42, Moving Average Reward: -114.94
Ep. 139, Ep.Timesteps 134, Episode Reward: -103.05, Moving Average Reward: -114.64
Ep. 140, Ep.Timesteps 162, Episode Reward: -104.70, Moving Average Reward: -114.41
Ep. 141, Ep.Timesteps 1600, Episode Reward: -99.93, Moving Average Reward: -114.07
Ep. 142, Ep.Timesteps 149, Episode Reward: -103.78, Moving Average Reward: -113.81
Ep. 143, Ep.Timesteps 135, Episode Reward: -102.92, Moving Average Reward: -113.50
Ep. 144, Ep.Timesteps 137, Episode Reward: -103.34, Moving Average Reward: -113.25
Ep. 145, Ep.Timesteps 146, Episode Reward: -103.73, Moving Average Reward: -112.98
Ep. 146, Ep.Timesteps 1600, Episode Reward: -100.15, Moving Average Reward: -112.66
Ep. 147, Ep.Timesteps 1600, Episode Reward: -100.20, Moving Average Reward: -112.34
Ep. 148, Ep.Timesteps 1600, Episode Reward: -102.24, Moving Average Reward: -112.44
Ep. 149, Ep.Timesteps 160, Episode Reward: -105.04, Moving Average Reward: -112.22
Ep. 150, Ep.Timesteps 144, Episode Reward: -103.62, Moving Average Reward: -111.91
Ep. 151, Ep.Timesteps 1600, Episode Reward: -102.12, Moving Average Reward: -111.60
Ep. 152, Ep.Timesteps 1600, Episode Reward: -104.63, Moving Average Reward: -111.37
Ep. 153, Ep.Timesteps 132, Episode Reward: -104.29, Moving Average Reward: -111.11
Ep. 154, Ep.Timesteps 1600, Episode Reward: -102.27, Moving Average Reward: -110.80
Ep. 155, Ep.Timesteps 1600, Episode Reward: -101.37, Moving Average Reward: -110.47
Ep. 156, Ep.Timesteps 1600, Episode Reward: -101.39, Moving Average Reward: -110.19
Ep. 157, Ep.Timesteps 207, Episode Reward: -108.54, Moving Average Reward: -110.03
Ep. 158, Ep.Timesteps 137, Episode Reward: -104.18, Moving Average Reward: -109.79
