time/episodes,time/time_elapsed,rollout/success_rate,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/critic_loss,time/fps,train/n_updates,train/learning_rate,rollout/ep_rew_mean
4,2,0.0,400,100.0,0.9353335320949554,0.27362323462963106,178,200,0.001,-100.0
8,5,0.0,800,100.0,1.0569536864757538,0.19132032476365565,149,600,0.001,-100.0
12,8,0.0,1200,100.0,1.6850820469856262,0.15038137167692184,139,1000,0.001,-99.83333333333333
16,11,0.0,1600,100.0,1.7637772464752197,0.14321656323969364,136,1400,0.001,-99.875
20,14,0.0,2000,100.0,2.3512282228469847,0.14837766714394093,139,1800,0.001,-99.9
24,17,0.0,2400,100.0,3.0970526123046875,0.19224891550838946,133,2200,0.001,-99.91666666666667
28,21,0.0,2800,100.0,3.683409776687622,0.23808803290128708,131,2600,0.001,-99.92857142857143
32,24,0.0,3200,100.0,4.356057109832764,0.28171853244304657,128,3000,0.001,-99.875
36,27,0.0,3600,100.0,4.948086452484131,0.30119967937469483,129,3400,0.001,-99.88888888888889
40,31,0.0,4000,100.0,5.447412033081054,0.35492390871047974,128,3800,0.001,-99.9
44,34,0.0,4400,100.0,6.1178378486633305,0.36955447763204574,128,4200,0.001,-99.8409090909091
48,37,0.0,4800,100.0,6.601383895874023,0.3957497522234917,128,4600,0.001,-99.5625
52,40,0.0,5200,100.0,6.824010734558105,0.3853078559041023,128,5000,0.001,-99.59615384615384
56,43,0.0,5600,100.0,7.455709342956543,0.3595975036919117,127,5400,0.001,-99.53571428571429
60,47,0.0,6000,100.0,7.8060608959198,0.2992482641339302,127,5800,0.001,-99.51666666666667
64,50,0.0,6400,100.0,7.626904239654541,0.2747069288790226,126,6200,0.001,-99.546875
68,54,0.0,6800,100.0,7.902051544189453,0.2513457292318344,125,6600,0.001,-99.57352941176471
72,57,0.013888889,7200,100.0,8.347296333312988,0.2872926786541939,124,7000,0.001,-98.52777777777777
76,61,0.013157895,7600,100.0,8.836987552642823,0.30595895886421204,124,7400,0.001,-98.5657894736842
80,64,0.0125,8000,100.0,9.227129936218262,0.3241289220750332,124,7800,0.001,-97.9125
84,67,0.011904762,8400,100.0,9.71634464263916,0.30358844831585885,124,8200,0.001,-97.97619047619048
88,70,0.011363637,8800,100.0,10.062527866363526,0.3117940671741962,124,8600,0.001,-97.86363636363636
92,74,0.010869565,9200,100.0,10.220473155975341,0.3389887049794197,123,9000,0.001,-97.95652173913044
96,77,0.010416667,9600,100.0,10.489901008605957,0.31709345027804375,123,9400,0.001,-98.01041666666667
100,81,0.01,10000,100.0,10.347180004119872,0.30122677579522134,123,9800,0.001,-98.07
104,84,0.01,10400,100.0,10.558567008972169,0.3007780832052231,123,10200,0.001,-98.07
108,87,0.01,10800,100.0,10.225942001342773,0.28557021856307985,122,10600,0.001,-98.07
112,91,0.01,11200,100.0,10.60181396484375,0.3345132100582123,122,11000,0.001,-98.0
116,94,0.01,11600,100.0,10.2931813621521,0.2914203277230263,122,11400,0.001,-97.97
120,97,0.02,12000,100.0,10.337164154052735,0.36753437146544454,122,11800,0.001,-97.02
124,101,0.02,12400,100.0,10.689105949401856,0.3343126392364502,122,12200,0.001,-96.89
128,104,0.02,12800,100.0,10.885182552337646,0.3434137564897537,122,12600,0.001,-96.82
132,107,0.02,13200,100.0,11.078561172485351,0.37330109387636184,122,13000,0.001,-96.82
136,111,0.02,13600,100.0,11.044680442810058,0.3473719023168087,122,13400,0.001,-96.78
140,114,0.03,14000,100.0,11.593161392211915,0.3700587520003319,122,13800,0.001,-96.05
144,117,0.03,14400,100.0,11.596334323883056,0.4159845957159996,122,14200,0.001,-95.81
148,120,0.04,14800,100.0,12.024682331085206,0.36365119263529777,122,14600,0.001,-94.87
152,124,0.05,15200,100.0,11.889391136169433,0.3558275116980076,122,15000,0.001,-93.66
156,127,0.05,15600,100.0,12.083498783111573,0.3888036122918129,122,15400,0.001,-93.61
160,130,0.05,16000,100.0,12.418763999938966,0.36567076176404956,122,15800,0.001,-93.58
164,133,0.05,16400,100.0,12.434511699676513,0.41550921857357026,122,16200,0.001,-93.58
168,137,0.05,16800,100.0,12.416604080200194,0.4026580771803856,122,16600,0.001,-93.0
172,140,0.06,17200,100.0,12.615817584991454,0.41105476349592207,122,17000,0.001,-92.17
176,143,0.08,17600,100.0,12.403014602661132,0.37270481646060943,122,17400,0.001,-90.18
180,147,0.08,18000,100.0,12.46337453842163,0.4084711945056915,122,17800,0.001,-90.11
184,150,0.09,18400,100.0,12.487721366882324,0.36923859611153603,122,18200,0.001,-88.42
188,153,0.1,18800,100.0,12.662141647338867,0.4029952348768711,122,18600,0.001,-87.58
192,156,0.12,19200,100.0,12.6470672416687,0.37341545671224596,122,19000,0.001,-85.01
196,159,0.12,19600,100.0,12.442093868255615,0.38505265265703204,122,19400,0.001,-84.9
200,162,0.14,20000,100.0,12.226008625030518,0.3862402242422104,123,19800,0.001,-82.75
204,165,0.17,20400,100.0,12.167985286712646,0.4220338687300682,123,20200,0.001,-79.74
208,168,0.19,20800,100.0,12.097601013183594,0.37909705996513365,123,20600,0.001,-77.58
212,171,0.22,21200,100.0,11.94364730834961,0.3719311511516571,123,21000,0.001,-74.61
216,175,0.24,21600,100.0,11.731511135101318,0.331916806101799,123,21400,0.001,-72.59
220,178,0.26,22000,100.0,11.78901927947998,0.3558239382505417,123,21800,0.001,-70.49
224,181,0.28,22400,100.0,11.477744789123536,0.3042557688057423,123,22200,0.001,-68.43
228,184,0.29,22800,100.0,11.480996742248536,0.31189166456460954,123,22600,0.001,-67.32
