time/time_elapsed,train/critic_loss,train/learning_rate,train/actor_loss,time/fps,time/episodes,rollout/ep_rew_mean,train/n_updates,time/total_timesteps,rollout/ep_len_mean,rollout/success_rate
179,0.2962999476492405,0.001,-29.417110004425048,91,164,-99.65,16200,16400,100.0,0.0
183,0.31793547302484515,0.001,-29.460161838531494,91,168,-99.69,16600,16800,100.0,0.0
187,0.294109480381012,0.001,-30.340017375946044,91,172,-99.68,17000,17200,100.0,0.0
192,0.3596866150200367,0.001,-29.869225044250488,91,176,-99.65,17400,17600,100.0,0.0
196,0.32962342515587806,0.001,-31.098484230041503,91,180,-99.68,17800,18000,100.0,0.0
200,0.3399204504489899,0.001,-30.799346599578858,91,184,-99.68,18200,18400,100.0,0.0
205,0.37259515255689624,0.001,-31.41934429168701,91,188,-99.55,18600,18800,100.0,0.0
209,0.32899465575814246,0.001,-31.73918743133545,91,192,-99.42,19000,19200,100.0,0.0
214,0.3320018877089024,0.001,-31.8315598487854,91,196,-99.16,19400,19600,100.0,0.0
218,0.3883366949856281,0.001,-31.975036296844483,91,200,-99.13,19800,20000,100.0,0.0
222,0.32023621797561647,0.001,-32.29930715560913,91,204,-99.12,20200,20400,100.0,0.0
227,0.3443731564283371,0.001,-32.27870222091675,91,208,-99.09,20600,20800,100.0,0.0
231,0.27181775867938995,0.001,-32.49322790145874,91,212,-99.09,21000,21200,100.0,0.0
235,0.40080565080046654,0.001,-32.6218058013916,91,216,-98.66,21400,21600,100.0,0.01
240,0.3101688827574253,0.001,-32.348616676330565,91,220,-97.27,21800,22000,100.0,0.02
244,0.3447583624720573,0.001,-32.54231773376465,91,224,-97.24,22200,22400,100.0,0.02
248,0.29415716484189036,0.001,-32.66599117279053,91,228,-97.22,22600,22800,100.0,0.02
252,0.3467138057947159,0.001,-33.09518980026245,91,232,-97.2,23000,23200,100.0,0.02
256,0.2805800972878933,0.001,-33.635027656555174,91,236,-97.15,23400,23600,100.0,0.02
261,0.3448649315536022,0.001,-33.34485315322876,91,240,-97.16,23800,24000,100.0,0.02
